"length","id","line","treat"
56.28,1,"MO001","Control"
52.71,1,"MO001","Control"
50.67,1,"MO001","Control"
43.84,1,"MO001","Control"
52.9,2,"MO001","Control"
54.31,2,"MO001","Control"
52.86,2,"MO001","Control"
48.83,2,"MO001","Control"
47.24,3,"MO001","Control"
45.03,3,"MO001","Control"
51.33,3,"MO001","Control"
51.59,3,"MO001","Control"
52.52,4,"MO001","Control"
44.26,4,"MO001","Control"
48.14,4,"MO001","Control"
NA,4,"MO001","Control"
54.38,5,"MO001","EOD-FR"
64.47,5,"MO001","EOD-FR"
56.83,5,"MO001","EOD-FR"
NA,5,"MO001","EOD-FR"
64.17,6,"MO001","EOD-FR"
58.69,6,"MO001","EOD-FR"
NA,6,"MO001","EOD-FR"
NA,6,"MO001","EOD-FR"
55.65,7,"MO001","EOD-FR"
55.69,7,"MO001","EOD-FR"
60.29,7,"MO001","EOD-FR"
57.3,7,"MO001","EOD-FR"
51.16,8,"MO001","EOD-FR"
55.08,8,"MO001","EOD-FR"
59.63,8,"MO001","EOD-FR"
NA,8,"MO001","EOD-FR"
54.4,9,"MO005","Control"
52.88,9,"MO005","Control"
66.43,9,"MO005","Control"
50.41,9,"MO005","Control"
61.93,10,"MO005","Control"
57.51,10,"MO005","Control"
57.11,10,"MO005","Control"
59.34,10,"MO005","Control"
59.28,11,"MO005","Control"
70.3,11,"MO005","Control"
68.51,11,"MO005","Control"
60.7,11,"MO005","Control"
44.38,12,"MO005","Control"
42.3,12,"MO005","Control"
45.59,12,"MO005","Control"
44.59,12,"MO005","Control"
88.85,13,"MO005","EOD-FR"
82.22,13,"MO005","EOD-FR"
72.01,13,"MO005","EOD-FR"
79.96,13,"MO005","EOD-FR"
83.05,14,"MO005","EOD-FR"
81.48,14,"MO005","EOD-FR"
68.11,14,"MO005","EOD-FR"
NA,14,"MO005","EOD-FR"
81.47,15,"MO005","EOD-FR"
77.35,15,"MO005","EOD-FR"
81.24,15,"MO005","EOD-FR"
65.65,15,"MO005","EOD-FR"
56.15,16,"MO005","EOD-FR"
57.86,16,"MO005","EOD-FR"
53.97,16,"MO005","EOD-FR"
57.38,16,"MO005","EOD-FR"
53.08,17,"MO007","Control"
50.59,17,"MO007","Control"
64.89,17,"MO007","Control"
51.21,17,"MO007","Control"
51.76,18,"MO007","Control"
44.27,18,"MO007","Control"
58.02,18,"MO007","Control"
51.99,18,"MO007","Control"
51.04,19,"MO007","Control"
54.43,19,"MO007","Control"
NA,19,"MO007","Control"
NA,19,"MO007","Control"
59.07,20,"MO007","Control"
57.16,20,"MO007","Control"
NA,20,"MO007","Control"
NA,20,"MO007","Control"
78.29,21,"MO007","EOD-FR"
NA,21,"MO007","EOD-FR"
NA,21,"MO007","EOD-FR"
NA,21,"MO007","EOD-FR"
63.45,22,"MO007","EOD-FR"
66.65,22,"MO007","EOD-FR"
68.87,22,"MO007","EOD-FR"
66.86,22,"MO007","EOD-FR"
73.88,23,"MO007","EOD-FR"
73.57,23,"MO007","EOD-FR"
68.04,23,"MO007","EOD-FR"
69.65,23,"MO007","EOD-FR"
73.22,24,"MO007","EOD-FR"
58.87,24,"MO007","EOD-FR"
55.55,24,"MO007","EOD-FR"
NA,24,"MO007","EOD-FR"
38.03,25,"MO008","Control"
48.21,25,"MO008","Control"
43.83,25,"MO008","Control"
46.03,25,"MO008","Control"
46.39,26,"MO008","Control"
47.2,26,"MO008","Control"
50.23,26,"MO008","Control"
NA,26,"MO008","Control"
47.45,27,"MO008","Control"
43.09,27,"MO008","Control"
44.07,27,"MO008","Control"
NA,27,"MO008","Control"
39.41,28,"MO008","Control"
38.85,28,"MO008","Control"
36.53,28,"MO008","Control"
38.25,28,"MO008","Control"
54.32,29,"MO008","EOD-FR"
53.91,29,"MO008","EOD-FR"
50.27,29,"MO008","EOD-FR"
NA,29,"MO008","EOD-FR"
55.62,30,"MO008","EOD-FR"
55.01,30,"MO008","EOD-FR"
57.45,30,"MO008","EOD-FR"
NA,30,"MO008","EOD-FR"
48.98,31,"MO008","EOD-FR"
44.69,31,"MO008","EOD-FR"
47.74,31,"MO008","EOD-FR"
46.56,31,"MO008","EOD-FR"
52.4,32,"MO008","EOD-FR"
51.02,32,"MO008","EOD-FR"
57.62,32,"MO008","EOD-FR"
54.31,32,"MO008","EOD-FR"
54.61,33,"MO012","Control"
NA,33,"MO012","Control"
NA,33,"MO012","Control"
NA,33,"MO012","Control"
56.95,34,"MO012","EOD-FR"
62.18,34,"MO012","EOD-FR"
60.54,34,"MO012","EOD-FR"
55.7,34,"MO012","EOD-FR"
54.95,35,"MO014","Control"
52.23,35,"MO014","Control"
62.04,35,"MO014","Control"
NA,35,"MO014","Control"
58.98,36,"MO014","Control"
62.54,36,"MO014","Control"
64.37,36,"MO014","Control"
56.06,36,"MO014","Control"
60.18,37,"MO014","Control"
56.63,37,"MO014","Control"
61.62,37,"MO014","Control"
43.75,37,"MO014","Control"
52.88,38,"MO014","Control"
59.91,38,"MO014","Control"
51.32,38,"MO014","Control"
55.62,38,"MO014","Control"
62.66,39,"MO014","EOD-FR"
44.36,39,"MO014","EOD-FR"
62.89,39,"MO014","EOD-FR"
61.87,39,"MO014","EOD-FR"
56.29,40,"MO014","EOD-FR"
66.12,40,"MO014","EOD-FR"
64.01,40,"MO014","EOD-FR"
65.08,40,"MO014","EOD-FR"
65.44,41,"MO014","EOD-FR"
64.04,41,"MO014","EOD-FR"
68.11,41,"MO014","EOD-FR"
NA,41,"MO014","EOD-FR"
61.27,42,"MO014","EOD-FR"
64.75,42,"MO014","EOD-FR"
54.73,42,"MO014","EOD-FR"
63.87,42,"MO014","EOD-FR"
66.34,43,"MO015","Control"
67.58,43,"MO015","Control"
58.27,43,"MO015","Control"
61.46,43,"MO015","Control"
66.44,44,"MO015","Control"
68.55,44,"MO015","Control"
60.71,44,"MO015","Control"
64.67,44,"MO015","Control"
55.41,45,"MO015","Control"
74.09,45,"MO015","Control"
67.12,45,"MO015","Control"
71.4,45,"MO015","Control"
56.96,46,"MO015","Control"
64.1,46,"MO015","Control"
65.83,46,"MO015","Control"
73.74,46,"MO015","Control"
73.55,47,"MO015","EOD-FR"
73.55,47,"MO015","EOD-FR"
74.37,47,"MO015","EOD-FR"
79.41,47,"MO015","EOD-FR"
82.23,48,"MO015","EOD-FR"
71.91,48,"MO015","EOD-FR"
73.38,48,"MO015","EOD-FR"
82.24,48,"MO015","EOD-FR"
72.73,49,"MO015","EOD-FR"
77.92,49,"MO015","EOD-FR"
79.23,49,"MO015","EOD-FR"
77.27,49,"MO015","EOD-FR"
79.35,50,"MO015","EOD-FR"
76.77,50,"MO015","EOD-FR"
79.28,50,"MO015","EOD-FR"
84.04,50,"MO015","EOD-FR"
